Bin Id,Site,Year,Completeness,Redundancy,Strain heterogeneity,Genome size (Mbp), # contigs,GC,Domain,Phylum,Class,Order,Family,Genus,SJO_Jan 2016_10cm_MP02,SJO_Jan 2016_20cm_MP02,SJO_Jan 2016_10cm_MP15,SJO_Jan 2016_20cm_MP15,BVA_Feb 2016_10cm_MP05,BVA_Feb 2016_20cm_MP05,BVA_Feb 2016_10cm_MP12,BVA_Feb 2016_20cm_MP12,QUI_Feb 2016_10cm_MP05,QUI_Feb 2016_20cm_MP05,QUI_Feb 2016_10cm_MP10,QUI_Feb 2016_20cm_MP10,SJO_Jul 2015_20cm_MP02,SJO_Jul 2015_20cm_MP15,BVA_Aug 2015_20cm_MP10,BVA_Aug 2015_20cm_MP04,QUI_Oct 2015_10cm_MP10,QUI_Oct 2015_20cm_MP10,QUI_Oct 2015_10cm_MP05,QUI_Oct 2015_20cm_MP05,SJO_Oct 2015_20cm_MP02,SJO_Oct 2015_20cm_MP15,BVA_Oct 2015_20cm_MP06,BVA_Oct 2015_20cm_MP10,Average_Abundance_at_Site
1015_Q2.107_025,Quistococha,15-Oct,91.03,4.08,57.14,3.783051,507,67.6,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,,,,,,,,,,,,,,,,,7.735590472,4.105790761,17.32424,6.109434704,,,,,8.818763984
1015_Q2.107_043,Quistococha,15-Oct,96.28,4.85,50,3.07329,236,48.3,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,,,,,,,,,,,,,5.605304776,8.281048112,4.422207404,6.931712233,,,,,6.310068131
1015_Q2.107_228,Quistococha,15-Oct,73.42,7.41,14.29,3.346096,980,54.7,d__Bacteria,p__Acidobacteriota,c__CAIWXX01,o__,f__,g__,,,,,,,,,,,,,,,,,2.008335746,0.177702663,2.965106432,1.019597086,,,,,1.542685482
1015_Q2.107_497,Quistococha,15-Oct,62.06,3.24,40,1.039766,284,45,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__,,,,,,,,,,,,,,,,,0.108034689,7.321051831,0.266647595,2.064577202,,,,,2.440077829
1015_Q2.40_003,Quistococha,15-Oct,75.75,5.64,45.83,3.644173,971,64.3,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SHXO01,g__,,,,,,,,,,,,,,,,,17.49111335,10.85225275,8.277392977,5.28831264,,,,,10.47726793
1015_Q2.40_006,Quistococha,15-Oct,66.83,5.83,12.5,1.41808,355,46.9,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,,,,,,,,,,,,,16.14460747,7.132399271,14.11601402,7.170612244,,,,,11.14090825
1015_Q2.40_036,Quistococha,15-Oct,95,5,0,2.796732,132,53.8,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,7.306779473,0.493477264,4.287248211,1.537966448,,,,,3.406367849
1015_Q2.40_075,Quistococha,15-Oct,70.58,3.76,9.52,2.014831,619,70,d__Bacteria,p__Actinobacteriota,c__UBA4738,o__UBA4738,f__UBA4738,g__,,,,,,,,,,,,,,,,,5.560902762,0.77942587,12.95811008,3.06124992,,,,,5.589922158
1015_Q2.40_162,Quistococha,15-Oct,94.55,2,0,3.430257,219,48.9,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,,,,,,,,,,,,,,,,,2.704260166,5.611897574,3.007657486,6.401515036,,,,,4.431332566
1015_Q2.40_236,Quistococha,15-Oct,94.77,4.6,66.67,1.794559,233,51.1,d__Archaea,p__Halobacteriota,c__Bog-38,o__Bog-38,f__Bog-38,g__,,,,,,,,,,,,,,,,,2.213289673,14.69020221,1.055273093,3.462144703,,,,,5.35522742
1015_Q2.40_452,Quistococha,15-Oct,70.81,3.23,0,4.282289,545,53.1,d__Bacteria,p__Desulfobacterota,c__SM23-61,o__SM23-61,f__SM23-61,g__,,,,,,,,,,,,,,,,,1.752955747,3.211565614,1.747587435,3.704409389,,,,,2.604129546
1015_Q2.40_497,Quistococha,15-Oct,62.84,9.94,75,2.238377,390,62.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__,,,,,,,,,,,,,,,,,0.933824709,4.527052611,0.556785274,6.426789916,,,,,3.111113128
1015_Q2.40_586,Quistococha,15-Oct,51.19,2.27,100,1.0225,344,46.2,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__,,,,,,,,,,,,,,,,,0.300742243,12.52597418,1.976868129,12.40243546,,,,,6.801505003
1015_Q2.40_588,Quistococha,15-Oct,99.15,4.99,14.29,3.203587,230,72.7,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA8190,g__,,,,,,,,,,,,,,,,,0.48649725,9.964921239,0.967385587,11.27662435,,,,,5.673857107
1015_Q2.40_592,Quistococha,15-Oct,82.34,2.1,75,2.774889,363,62.3,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,,,,,,,,,,,,,,,,,0.283401139,13.26094897,0.194362443,1.694997374,,,,,3.858427482
1015_Q2.40_602,Quistococha,15-Oct,71.07,6.89,90,2.378596,707,54.3,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,0.335312323,2.306878541,1.419173531,10.99038306,,,,,3.762936864
1015_Q2.40_634,Quistococha,15-Oct,66.47,2.91,0,1.81323,450,60.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA11136,f__UBA11136,g__,,,,,,,,,,,,,,,,,0.175110214,5.994599377,0.061646771,0.048080105,,,,,1.569859117
1015_Q2_10,Quistococha,15-Oct,92.34,2.84,66.67,1.644455,180,41.3,d__Bacteria,p__Chlamydiota,c__Chlamydiia,o__Chlamydiales,f__CAIPRZ01,g__,,,,,,,,,,,,,,,,,6.072043721,2.063134968,2.665627308,1.370304472,,,,,3.042777617
1015_Q2_103,Quistococha,15-Oct,72.97,4.24,16.67,2.249411,344,63.2,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__RBG-16-64-43,g__,,,,,,,,,,,,,,,,,0.093768998,3.274776764,0.235766068,3.728446114,,,,,1.833189486
1015_Q2_116,Quistococha,15-Oct,85.04,5.2,14.29,3.900016,439,67.4,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__SCN-69-37,g__,,,,,,,,,,,,,,,,,0.39324625,0.29308485,5.331410425,2.576387872,,,,,2.148532349
1015_Q2_134,Quistococha,15-Oct,72.93,1.26,33.33,3.214863,664,69.9,d__Bacteria,p__Eisenbacteria,c__RBG-16-71-46,o__RBG-16-71-46,f__RBG-16-71-46,g__,,,,,,,,,,,,,,,,,2.945184425,0.397786367,2.219721843,1.733459531,,,,,1.824038042
1015_Q2_15,Quistococha,15-Oct,76.82,7.89,6.25,6.448775,1686,68.8,d__Bacteria,p__Myxococcota,c__Polyangia,o__Palsa-1104,f__Palsa-1104,g__,,,,,,,,,,,,,,,,,1.73335374,2.137883487,1.062713672,2.068478608,,,,,1.750607377
1015_Q2_151,Quistococha,15-Oct,68.76,3.88,20,1.736339,373,47.2,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,,,,,,,,,,,,,1.992353487,1.846201551,2.137308387,1.103746931,,,,,1.769902589
1015_Q2_154,Quistococha,15-Oct,92.43,3.89,40,2.576417,369,72.9,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__,,,,,,,,,,,,,,,,,3.628756748,3.075552449,1.687713795,1.537257655,,,,,2.482320162
1015_Q2_168,Quistococha,15-Oct,63.25,2.41,100,2.711927,744,55.3,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__UBA10450,g__,,,,,,,,,,,,,,,,,1.802458336,0.124826743,2.975680008,1.118458558,,,,,1.505355911
1015_Q2_174,Quistococha,15-Oct,93.01,8.59,13.33,6.378157,830,54.4,d__Bacteria,p__Acidobacteriota,c__UBA6911,o__UBA6911,f__UBA6911,g__,,,,,,,,,,,,,,,,,2.691935761,3.762162423,1.904154818,1.726709817,,,,,2.521240705
1015_Q2_180,Quistococha,15-Oct,60.08,3.57,15.38,4.137373,902,63.5,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__,,,,,,,,,,,,,,,,,0.739600624,3.150717123,1.072833104,4.158603277,,,,,2.280438532
1015_Q2_200,Quistococha,15-Oct,81.54,5.36,18.75,4.508511,565,70.6,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__PALSA-555,g__,,,,,,,,,,,,,,,,,2.224924032,0.196413055,9.249979015,3.186518183,,,,,3.714458571
1015_Q2_207,Quistococha,15-Oct,78.54,3.24,100,2.135118,601,72.2,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__,,,,,,,,,,,,,,,,,12.73240419,3.258162328,15.14724227,7.83146218,,,,,9.742317742
1015_Q2_210,Quistococha,15-Oct,60.89,1.83,0,1.774246,428,66,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__,,,,,,,,,,,,,,,,,2.844231497,1.277110041,1.414372446,0.777121866,,,,,1.578208963
1015_Q2_231,Quistococha,15-Oct,92.86,4.55,20,3.875941,530,45.3,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,4.154178717,0.389778914,2.228360567,0.922336263,,,,,1.923663615
1015_Q2_258,Quistococha,15-Oct,59.48,7.78,27.27,3.000609,356,53.8,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,3.64780132,2.545943225,3.130313507,2.472050992,,,,,2.949027261
1015_Q2_262,Quistococha,15-Oct,89.55,5.51,11.11,3.292269,389,51.8,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,1.254332258,4.083282863,1.104810651,1.553642544,,,,,1.999017079
1015_Q2_268,Quistococha,15-Oct,97.71,3.14,58.33,5.094507,368,62.2,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SHXO01,g__,,,,,,,,,,,,,,,,,3.083466091,6.030757844,3.370274604,6.433435438,,,,,4.729483494
1015_Q2_284,Quistococha,15-Oct,85.09,1.29,0,3.179209,262,66.8,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__,,,,,,,,,,,,,,,,,0.671237444,0.08120923,5.595229541,2.170494979,,,,,2.129542799
1015_Q2_3,Quistococha,15-Oct,69.11,3.69,80,2.19881,598,56.5,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,,,,,,,,,,,,,,,,,3.083197738,0.163815484,4.042909305,1.400130549,,,,,2.172513269
1015_Q2_306,Quistococha,15-Oct,74.56,2.08,100,2.128691,509,52.5,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,8.850982882,4.358604292,5.700091581,6.445814707,,,,,6.338873366
1015_Q2_317,Quistococha,15-Oct,92.25,3.64,0,2.918629,397,52.1,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,1.193882173,3.138405629,4.107070887,2.686730498,,,,,2.781522297
1015_Q2_329,Quistococha,15-Oct,92.02,5.46,28.57,3.519736,356,64.6,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__,,,,,,,,,,,,,,,,,4.117052529,3.679541945,4.413652474,3.845857421,,,,,4.014026092
1015_Q2_332,Quistococha,15-Oct,87.4,3.62,60,2.837683,298,71,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__,,,,,,,,,,,,,,,,,9.177659717,7.39932791,7.438986734,13.00593573,,,,,9.255477523
1015_Q2_353,Quistococha,15-Oct,60.36,9.86,9.09,1.356118,255,47.6,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__,,,,,,,,,,,,,,,,,0.049715703,3.079610599,0.364885077,4.086595196,,,,,1.895201644
1015_Q2_357,Quistococha,15-Oct,77.99,7.02,37.21,2.576148,432,67.6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__,,,,,,,,,,,,,,,,,3.670944008,9.254853284,3.783011978,6.192474664,,,,,5.725320984
1015_Q2_359,Quistococha,15-Oct,88.01,3.59,43.75,2.708922,355,68.5,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SG8-39,g__,,,,,,,,,,,,,,,,,1.423636467,6.297578065,1.019526871,3.982245321,,,,,3.180746681
1015_Q2_367,Quistococha,15-Oct,83.83,4.42,75,2.983536,707,62.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,,,,,,,,,,,,,,,,,4.427595351,11.95279278,14.1530156,16.36429291,,,,,11.72442416
1015_Q2_370,Quistococha,15-Oct,68.55,8.6,5.88,3.211849,1045,67,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Anaeromyxobacteraceae,g__,,,,,,,,,,,,,,,,,2.211636805,1.083122989,1.47758023,1.016740171,,,,,1.447270049
1015_Q2_412,Quistococha,15-Oct,57.29,0.1,0,0.590372,111,48.2,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__UBA10212,g__,,,,,,,,,,,,,,,,,0.9791704,0.432107988,2.321697732,3.045014157,,,,,1.694497569
1015_Q2_421,Quistococha,15-Oct,74.9,4.75,25,3.903199,798,71.6,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Fen-336,f__Fen-336,g__,,,,,,,,,,,,,,,,,3.753822253,0.166704181,2.621510058,1.146050266,,,,,1.92202169
1015_Q2_427,Quistococha,15-Oct,81.25,6.02,17.65,5.415205,1502,72.6,d__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__SHYZ01,g__,,,,,,,,,,,,,,,,,2.326423598,2.197740379,1.562457221,1.165600683,,,,,1.81305547
1015_Q2_434,Quistococha,15-Oct,97.22,1.71,0,6.243501,177,60.1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__SbA1,g__,,,,,,,,,,,,,,,,,16.21603895,15.54775347,26.86449081,26.71072321,,,,,21.33475161
1015_Q2_442,Quistococha,15-Oct,91.64,4.6,14.29,3.066391,176,49.7,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,,,,,,,,,,,,,,,,,5.321390536,0.980580415,3.633372258,1.417651292,,,,,2.838248625
1015_Q2_444,Quistococha,15-Oct,92.35,5.12,53.85,3.5676,546,60.5,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA6906,g__,,,,,,,,,,,,,,,,,2.246222565,3.075308123,1.46666131,3.581175307,,,,,2.592341826
1015_Q2_462,Quistococha,15-Oct,95.85,4.78,28.57,3.276858,291,56,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__,,,,,,,,,,,,,,,,,16.30589375,17.97398971,11.28706553,15.21837965,,,,,15.19633216
1015_Q2_466,Quistococha,15-Oct,90.69,8.76,30,1.712193,235,65.6,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__OPB41,f__,g__,,,,,,,,,,,,,,,,,4.331514963,1.818338284,3.759355125,1.812088493,,,,,2.930324216
1015_Q2_48,Quistococha,15-Oct,92.27,3.74,0,4.091312,579,64.8,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__,,,,,,,,,,,,,,,,,3.482123421,6.587832684,2.457919321,5.594874954,,,,,4.530687595
1015_Q2_485,Quistococha,15-Oct,93.8,6.73,0,4.088575,609,66.3,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__,,,,,,,,,,,,,,,,,3.249235876,6.785196672,4.118398103,3.444828331,,,,,4.399414746
1015_Q2_496,Quistococha,15-Oct,73.14,3.4,0,2.285321,640,72.2,d__Bacteria,p__Chloroflexota,c__Limnocylindria,o__Limnocylindrales,f__CSP1-4,g__,,,,,,,,,,,,,,,,,0.332837005,2.563889142,0.901999994,3.191473826,,,,,1.747549992
1015_Q2_521,Quistococha,15-Oct,96.2,6.84,10,6.099627,262,71.9,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Fen-336,f__Fen-336,g__,,,,,,,,,,,,,,,,,5.912101993,0.596768355,6.723507222,1.915457719,,,,,3.786958822
1015_Q2_541,Quistococha,15-Oct,66.82,5.11,40,1.767955,480,50.2,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,,,,,,,,,,,,,,,,,1.788392654,1.121343229,2.375292876,1.419194344,,,,,1.676055776
1015_Q2_56,Quistococha,15-Oct,53.04,1.65,50,2.74526,871,67.4,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__,,,,,,,,,,,,,,,,,1.542628847,1.922551652,0.729730254,1.548583631,,,,,1.435873596
1015_Q2_57,Quistococha,15-Oct,73.62,4.88,85.71,1.409355,316,49.7,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__Fen-1064,g__,,,,,,,,,,,,,,,,,6.270513031,0.957692493,1.819904714,0.884702728,,,,,2.483203242
1015_Q2_58,Quistococha,15-Oct,96.82,4.55,0,3.596195,78,53.1,d__Bacteria,p__Nitrospirota,c__UBA9217,o__UBA9217,f__UBA9217,g__,,,,,,,,,,,,,,,,,8.605897122,6.606065558,14.22332457,9.90068043,,,,,9.83399192
1015_Q2_6,Quistococha,15-Oct,99.09,3.82,20,3.006512,99,53.1,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,,,,,,,,,,,,,,,,,8.087322921,0.665253826,5.729280426,1.84471304,,,,,4.081642553
1015_Q2_604,Quistococha,15-Oct,63.97,2.99,75,1.725572,459,50.4,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__40CM-2-53-6,f__FEN-987,g__,,,,,,,,,,,,,,,,,1.109430465,10.65432455,4.18261023,13.4912415,,,,,7.359401686
1015_Q2_77,Quistococha,15-Oct,95.45,3.14,0,3.511248,204,50.7,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__UBA9159,g__,,,,,,,,,,,,,,,,,3.396976019,3.322277311,3.659706081,2.694263621,,,,,3.268305758
1015_Q2_83,Quistococha,15-Oct,75.48,5.85,66.67,3.583097,899,58.9,d__Bacteria,p__Bacteroidota,c__UBA10030,o__UBA10030,f__UBA6906,g__,,,,,,,,,,,,,,,,,6.940488681,2.188390126,4.384083786,2.778098589,,,,,4.072765296
1015_SJ02_BMC3C_470,San Jorge,15-Oct,64.43,3.42,0,3.913146,64,57.5,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,,,,,,,,,,,,,,,,,,,,,12.60395494,0.057903388,,,6.330929164
1015_SJ02_concoct_140,San Jorge,15-Oct,58.13,2.56,33.33,3.084906,496,62.7,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__UBA8190,g__,,,,,,,,,,,,,,,,,,,,,7.155500947,0.023255645,,,3.589378296
1015_SJ02_concoct_6,San Jorge,15-Oct,74.77,5.27,80,3.235329,1033,68.1,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SHWA01,f__SHWA01,g__,,,,,,,,,,,,,,,,,,,,,4.685503304,3.343700999,,,4.014602152
1015_SJ02_107_030,San Jorge,15-Oct,82.73,8.96,45.45,1.783422,379,46,d__Archaea,p__Thermoproteota,c__Bathyarchaeia,o__B26-1,f__SOJC01,g__,,,,,,,,,,,,,,,,,,,,,0.004282529,13.28151005,,,6.64289629
1015_SJ02_107_051,San Jorge,15-Oct,63.96,3.89,33.33,2.649655,919,62.2,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__,g__,,,,,,,,,,,,,,,,,,,,,3.938229788,10.00906283,,,6.973646309
1015_SJ02_107_221,San Jorge,15-Oct,50.28,1.29,0,1.276646,159,48.1,d__Bacteria,p__Myxococcota,c__UBA727,o__UBA727,f__,g__,,,,,,,,,,,,,,,,,,,,,6.735535114,0.086905152,,,3.411220133
1015_SJ02_108,San Jorge,15-Oct,69.15,1.46,50,0.989874,109,58.8,d__Archaea,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__UBA183,g__,,,,,,,,,,,,,,,,,,,,,16.2466179,0.182903267,,,8.214760584
1015_SJ02_215,San Jorge,15-Oct,78.96,1.71,0,3.493452,178,60.9,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidoferrales,f__UBA7541,g__,,,,,,,,,,,,,,,,,,,,,22.33423081,0.054058842,,,11.19414483
1015_SJ02_4,San Jorge,15-Oct,71.45,6.84,0,2.594615,749,70.8,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__,,,,,,,,,,,,,,,,,,,,,6.018396625,0.058813635,,,3.03860513
1015_SJ02_40_174,San Jorge,15-Oct,71.33,5.64,16.67,3.330866,666,60.5,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__,,,,,,,,,,,,,,,,,,,,,5.297572035,3.238601108,,,4.268086572
1015_SJ02_40_280,San Jorge,15-Oct,53.25,0.41,0,0.962469,13,42.5,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__,,,,,,,,,,,,,,,,,,,,,20.83349967,0.065324575,,,10.44941212
0216_BV02_MP05_concoct.65,Buena Vista,16-Feb,78.73,9.93,20.83,1.343371,419,42.8,d__Archaea,p__Halobacteriota,c__Methanomicrobia,o__Methanomicrobiales,f__JACTUA01,g__,,,,,0.809681187,5.801984298,,,,,,,,,,,,,,,,,,,3.305832743
0216_BV02_MP12_concoct.72,Buena Vista,16-Feb,77.68,3.76,83.33,2.947985,642,67.5,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__CAINCZ01,g__,,,,,,,2.182667556,8.89704521,,,,,,,,,,,,,,,,,5.539856383
0116_SJ02_107_010,San Jorge,16-Jan,68.7,2.99,43.75,2.127354,641,69.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,18.72395311,7.050704078,1.594487176,14.22558042,,,,,,,,,,,,,,,,,,,,,10.3986812
0116_SJ02_40_086,San Jorge,16-Jan,92.59,6.75,25.58,3.153941,206,68.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,6.328762266,1.91993496,0.325643748,3.685858603,,,,,,,,,,,,,,,,,,,,,3.065049894
0216_BV02_MP05.73,Buena Vista,16-Feb,87.38,4.86,9.09,3.429645,125,68.8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,12.88098467,11.29767377,,,,,,,,,,,,,,,,,,,12.08932922
0216_BV02_MP12.40.010,Buena Vista,16-Feb,86.55,3.12,14.29,3.562972,216,69,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,6.666758911,17.34728395,,,,,,,,,,,,,,,,,12.00702143
0216_QUI02_222,Quistococha,16-Feb,77.75,6.7,40.62,3.043072,623,69.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,1.179255152,0.18693682,1.408846577,9.211786758,,,,,,,,,,,,,2.996706327
0715_SJ02_66,San Jorge,15-Jul,83.92,7.51,17.65,3.332385,326,68.4,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,,,,,10.93468625,4.113772511,,,,,,,,,,,7.524229381
1015_BV01_concoct_18,Buena Vista,15-Oct,77.05,3.51,8.33,2.655577,525,68.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,,,,,,,,,,,,,,,0.868625281,6.115422278,3.49202378
1015_Q2_320,Quistococha,15-Oct,86.84,6.75,47.06,3.880408,619,64.9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,,,,,,,,,2.985549825,2.576163908,9.4134195,4.985043178,,,,,4.990044103
1015_Q2_551,Quistococha,15-Oct,66.36,5.17,66.67,2.21752,646,71.1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,,,,,,,,,5.961277025,0.64162076,3.443939281,1.380828813,,,,,2.85691647
1015_Q2_568,Quistococha,15-Oct,84.48,6.79,44.12,3.116879,624,68,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,,,,,,,,,0.965075311,3.357375621,3.074112599,4.898164808,,,,,3.073682085
1015_SJ02_102,San Jorge,15-Oct,88.2,5.87,29.17,3.478644,446,67.7,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__13-2-20CM-66-19,,,,,,,,,,,,,,,,,,,,,30.02381505,5.097752254,,,17.56078365
0116_SJ02_283,San Jorge,16-Jan,78.26,2.49,60,2.800383,884,65.4,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__2-02-FULL-66-22,g__2-02-FULL-66-22,6.70944529,12.99560035,9.454682206,0.579867683,,,,,,,,,,,,,,,,,,,,,7.434898882
1015_Q2.40_479,Quistococha,15-Oct,79.04,3.04,54.55,4.643854,1071,65.1,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__2-02-FULL-66-22,g__2-02-FULL-66-22,,,,,,,,,,,,,,,,,1.109720579,6.759708323,0.749568341,3.389559604,,,,,3.002139212
1015_Q2.40_482,Quistococha,15-Oct,56.33,5.37,100,4.39171,1114,61,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Methylomirabilales,f__2-02-FULL-66-22,g__2-02-FULL-66-22,,,,,,,,,,,,,,,,,1.278498553,2.948687572,0.914085538,2.327491135,,,,,1.8671907
